,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.51,80.55,-4.34,92,100,24.07,RU,1609806165
1,rikitea,-23.12,-134.97,76.86,75,63,17.83,PF,1609806165
2,jimo,36.39,120.46,28.0,85,0,8.95,CN,1609805986
3,harper,4.38,-7.72,78.87,82,43,6.46,LR,1609806165
4,kijang,35.24,129.21,28.4,74,20,2.24,KR,1609805987
5,jamestown,42.1,-79.24,34.0,99,90,3.36,US,1609805987
6,tilichiki,60.47,166.1,-15.59,89,78,11.05,RU,1609805987
7,iqaluit,63.75,-68.51,-18.0,75,20,3.36,CA,1609805988
8,ushuaia,-54.8,-68.3,53.6,54,75,18.34,AR,1609805988
9,sompeta,18.93,84.6,67.33,66,59,5.39,IN,1609805988
10,hermanus,-34.42,19.23,71.01,85,50,3.0,ZA,1609805988
11,borjomi,41.85,43.41,31.86,81,0,7.34,GE,1609805988
12,yakeshi,49.28,120.73,-17.66,87,100,5.75,CN,1609805989
13,askino,56.09,56.58,12.2,96,100,6.26,RU,1609806168
14,langxiang,46.95,128.88,-13.11,87,38,3.49,CN,1609805989
15,vanimo,-2.67,141.3,84.7,69,100,4.14,PG,1609805990
16,saint-philippe,-21.36,55.77,77.0,73,90,12.75,RE,1609806169
17,port alfred,-33.59,26.89,73.0,95,84,1.99,ZA,1609806169
18,hithadhoo,-0.6,73.08,82.89,74,100,14.94,MV,1609806169
19,qaanaaq,77.48,-69.36,-2.15,78,29,3.74,GL,1609806170
20,tromso,69.65,18.96,39.2,80,75,29.97,NO,1609805954
21,santa fe,-31.63,-60.7,82.99,38,73,4.79,AR,1609805991
22,pyay,18.82,95.22,63.7,80,39,5.41,MM,1609805992
23,tasiilaq,65.61,-37.64,17.6,52,83,8.05,GL,1609805992
24,cidreira,-30.18,-50.21,74.25,75,74,19.84,BR,1609805885
25,barrow,71.29,-156.79,-16.6,82,90,4.7,US,1609806066
26,mataura,-46.19,168.86,57.0,93,100,1.01,NZ,1609806171
27,trinidad,-14.83,-64.9,75.2,94,90,4.7,BO,1609806171
28,maudaha,25.68,80.12,67.46,54,99,5.08,IN,1609806172
29,fairbanks,64.84,-147.72,-9.99,69,40,3.36,US,1609805899
30,atuona,-9.8,-139.03,77.88,78,56,15.86,PF,1609806172
31,cape town,-33.93,18.42,70.0,88,0,16.11,ZA,1609806173
32,bredasdorp,-34.53,20.04,69.8,83,84,5.82,ZA,1609806173
33,pemangkat,1.17,108.97,76.6,89,100,2.64,ID,1609806009
34,broken hill,-31.95,141.43,68.0,52,0,13.87,AU,1609806174
35,road town,18.42,-64.62,75.99,83,40,17.22,VG,1609806174
36,nata,8.33,-80.52,82.4,78,20,12.73,PA,1609806175
37,samarai,-10.62,150.67,85.39,71,100,14.76,PG,1609806176
38,togur,58.36,82.83,-26.18,85,0,2.98,RU,1609806176
39,moree,-29.47,149.85,80.6,69,75,9.17,AU,1609806177
40,butaritari,3.07,172.79,81.93,79,19,19.42,KI,1609806177
41,torbay,47.67,-52.73,33.01,100,90,14.99,CA,1609806178
42,vaini,-21.2,-175.2,82.4,88,75,12.75,TO,1609806178
43,bambanglipuro,-7.95,110.28,79.14,80,93,3.27,ID,1609806178
44,tiksi,71.69,128.87,-9.51,89,95,10.11,RU,1609806178
45,codrington,-38.27,141.97,58.39,82,93,15.41,AU,1609806179
46,nemuro,43.32,145.57,8.6,78,20,6.93,JP,1609806179
47,khatanga,71.97,102.5,-10.41,88,32,14.34,RU,1609806179
48,staryy nadym,65.61,72.68,-15.99,88,37,10.33,RU,1609806179
49,pacific grove,36.62,-121.92,59.0,82,90,12.75,US,1609806179
50,rairangpur,22.27,86.18,59.49,61,91,1.86,IN,1609806180
51,san cristobal,7.77,-72.22,77.0,73,40,2.24,VE,1609806136
52,vostok,46.49,135.88,-13.02,89,61,4.25,RU,1609806180
53,akureyri,65.68,-18.09,41.0,48,40,16.11,IS,1609806180
54,garden city,42.33,-83.33,34.0,96,90,9.17,US,1609806181
55,champerico,14.3,-91.92,82.4,74,40,6.93,GT,1609806181
56,apiai,-24.51,-48.84,61.77,100,100,3.06,BR,1609806181
57,slavicin,49.09,17.87,37.99,97,98,3.36,CZ,1609806182
58,dukhovnitskoye,52.48,48.21,28.33,98,100,9.93,RU,1609806182
59,arawa,-6.21,155.54,88.45,54,58,4.7,PG,1609806182
60,klaksvik,62.23,-6.59,41.0,100,96,7.47,FO,1609806183
61,katsuura,35.13,140.3,46.99,60,75,3.36,JP,1609806183
62,carbonia,39.17,8.52,44.6,86,75,2.24,IT,1609806183
63,alvorada,-12.48,-49.12,74.43,89,99,3.69,BR,1609806184
64,hilo,19.73,-155.09,78.8,69,90,6.93,US,1609806184
